猫と犬どっちが好き？	犬派かも～💗でもどっちも好き😆😆
ジャガイモは正確にはジャガタライモっていうんだ	ジャガタライモ😂💗かわいい名前💗
かつおぶしと、本枯れ節は違うみたい	へ～！何が違うのかな？😲😲
ひやむぎに色がついたのがあるのは、どうして？	ケイもわからないな～～😊💦
終始無言を貫くなら男らしいといえる	何を・・・？？😶😶
中国では七夕をバレンタインデーとしてるみたい	七夕がバレンタインデー！？？😲💦💦なんかイメージが・・・（笑）
髪を抜くと生えてこないんじゃ・・・	髪は抜かない方がいいかも…👍✨
牛カツの方が関西では一般的なの？	関西は牛カツなの😲！？？🐂
明太子はご飯とよく合う	そうなんだ！今度試してみよう👍
散歩するだけでも気晴らしになる	ケイもよくするよ～～😊🌸🎵
香道の香りは味わいで甘いとか辛いとか言うんだ	香りを甘い・辛いっていうんだ～😶✨
漫画は読むのは好きだけど、書けないね	たしかに描けないな～～😊
三歩進んで二歩下がっても良いんだ	何事も焦らず挑戦する事が大事だからね👍
タラの白子はマダラの方がスケソウダラより美味しい	詳しいんだね～～😊👍✨✨
影踏みとかやったなぁ	懐かしいね～😊本当に踏めてるか微妙だった😂
トンカツって元々西洋料理だったんだよね	西洋料理なの！？？😲知らなかった～～💦
主義は曲げず、主張は堪える	周りに流されて自分の意見を待たないのはだめだね！！
なわとびの三重飛びはどうにも体が重くて無理だ	三重飛びってできてるのかできていないのかわからなくない？？😂😂
障碍者のスポーツは激しいものばかり	それでも頑張る姿はカッコいい👍✨
明智光秀って生真面目すぎたのかな	そうだったのかもしれないね～～😶
アマテラスって男なの？　女なの？	性別不明らしいね～～💦💦
カボチャはカンボジアからきたの？	そうなの😲？？気になるから調べてみるね💗
おにぎらずとか意味不明	おにぎらずと握りずしは何か違うのかな？💦
サンバを日本人がやってるのは貧相すぎてやめた方がいい	日本人がやると貧相なの😂！？？💦
茶懐石は最初にご飯と味噌汁が出るよ	茶懐石ってシンプルだけど深い感じする😶😶
フェンネルはウイキョウのことなんだ	ケイ今初めてフェンネルを知ったよ😂💦
こんにゃくいもって一回取り出して、また植えて、っていうのを繰り返すみたい	作るまでに沢山の時間がかかるんだね😂💦
モットーを口だけにしないことだ	そうだよね😊👍実行したいよね👍✨
余裕が無いとイライラしちゃうね	口に出して行動する事が大事よね👍✨
秀吉はサルの他にハゲネズミとか言われてたね	ハゲネズミ・・・😲😲😲😂
人の声が気になるよ	人の声は色んな所から聞こえてくるよね…😂💦
ＶＲがもっと進化したらどうなるんだろう	判定！判定！で試合が進まないなんてことになるかも😱😱😱
絵が上手いのと、漫画が上手いのはまた別	絵だけじゃなくて内容も大事だよね📚✍
昔のゲームって、画像一枚ほども容量が無いとか・・・	そうだったの😲進化はすごいね～～✨
ポリゴンの荒い時代が懐かしいな	可愛いキャラクターだね💕💕
ゆとりがある生活の方が良いのにね	ゆとりも大事だよね😊👍
プラス思考の人ってどうなってんの？	悪く考えずにいいように考えてる👍✨
まさか自分で電脳空間を作れるようになるとはね	電脳空間ってなんだ😲💦難しすぎる～～💦
年寄りの散歩より、若者の散歩も重要だ	散歩することでメリットがあるのかな…😶😶
イクラとサーモンでも親子丼	たしかに！！😂👍
漫画家って肩こりと痔になりそう	それだけ集中して遅くまで頑張ってるからね👊🔥
明太子とタラコは論争の元	ケイは明太子でもタラコでもどっちでもいいよ～ん😂💗
グミの実が、お菓子のグミになっているとか	グミって実だったのか！😲✨
生姜って、似たようなものがタイとかインドにあるよね	そうなんだ😊💡詳しいね～～💗💗
欝っぽいのはどうしたらいい？	外に出て気分転換😊👍💖
昔のゲームを作る方が大変なんじゃないかな	そういうものなのかな😶💥？？
ラテンのリズムには骨付き肉が似合う	骨付き肉食べたくなってきた～～🍖
スサノオって天界から追い出されたんでしょ？	スサノオ・・・😶❔❔
里芋って親芋から子芋、孫芋が出てくるんだよ	家系図みたいで面白いな～～😶💖
シナプスの働きって大事なんだ	神経とかの話だよね～～テレビ番組で見たことあるよ📺✨
クラスメートって、友達のような知人のような	クラスメートに救われることも沢山あるよね😊👍💖
テスト勉強って、受験しない人はいらないじゃん	そうかもだけど勉強していたら将来役立つって先輩に言われたことあるよ😊👍
楽天家だけどそう思い込もうとしてるだけ	無理して思い込むと自分の負担になるだけ😲💦
ゲーム作りってプログラミングがかなり大変なんだね	大変そう💦💦ケイそういうのわからないからちんぷんかんぷん😂👍
家康ってタヌキって言われてるけど、どうして？	タヌキみたいにぷっくてしてたから？（笑）
同人誌だってプロ以上に上手い人もいる	そういう人がデビューしていくのかな😊💗
拡張現実とか、もはや脳の病気とどう違うのか	依存したら大変だ～～😲💦
横浜の人の「自分はハマっ子だから」がウザイ	そうなの？😶浜っ子に誇りがあるんだね✨✨
スグリは山になってるけど、あんまり手に入らないね	ブドウみたいで美味しそうだね😋💗
信長を殺したのは秀吉って説がある	えぇ～～それはびっくりな展開じゃない😲！？？💦💦
明るく振る舞う人ほど落ち込みやすい	人を笑顔にしてくれる人の裏側だね…😶😶
ゆとりって、政策が失敗だったんでしょ	どうなんだろうね～～😶❔❔
社会で嫌なのは近現代だよ	近現代のどこがいや～～？？
ＰＨＳってどうなったの？	PHSってなに・・・😊❔❔
シェアハウスって若者ばかりじゃないんでしょ？	色んな世代の人がいて色んな話聞けるから良いかもね👍✨
バブリーな人達の頭は今も変わってない	バブリーな人ってバブリーダンスみたいな感じの派手な人😂？？
給料どころかボーナスもどうなるか分からん	ボーナスはないと嫌だよね～～😱😱
日本で研究費をケチるから外国に逃げちゃうじゃないか	そうなんだ😱😱日本で研究してほしいよね😱💗
昼寝してる議員をまずはクビにしろよ	国民の為に働いてください！！💦💦
国の借金多すぎ	そうなの💦💦恐ろしい～～😱
ひそひそ話す人って嫌い	堂々と話してる方が印象もいいよね😉👍
